full_fips,api_med_income,api_month_med_income
36059,45285,3773.75
36097,25365,2113.75
36017,27495,2291.25
36045,27607,2300.58333333333
36103,41227,3435.58333333333
36121,31415,2617.91666666667
36075,27878,2323.16666666667
36117,30575,2547.91666666667
36007,26593,2216.08333333333
08053,30847,2570.58333333333
36029,31856,2654.66666666667
36105,29887,2490.58333333333
36071,35300,2941.66666666667
37087,27234,2269.5
37067,29380,2448.33333333333
18089,29975,2497.91666666667
18107,29813,2484.41666666667
18001,29570,2464.16666666667
18041,25447,2120.58333333333
18021,30251,2520.91666666667
18037,31409,2617.41666666667
18047,30851,2570.91666666667
18059,37719,3143.25
18067,30252,2521
18115,31364,2613.66666666667
18121,26045,2170.41666666667
18135,26306,2192.16666666667
18007,27002,2250.16666666667
18013,29372,2447.66666666667
18133,27702,2308.5
18175,28197,2349.75
18027,27372,2281
18065,26313,2192.75
18083,26503,2208.58333333333
18095,26440,2203.33333333333
18125,27043,2253.58333333333
18131,27793,2316.08333333333
18151,28865,2405.41666666667
56021,34055,2837.91666666667
56039,40914,3409.5
48407,22614,1884.5
48459,26279,2189.91666666667
48473,25613,2134.41666666667
48493,32643,2720.25
48219,25420,2118.33333333333
48329,38804,3233.66666666667
48299,25152,2096
48147,28875,2406.25
48041,24118,2009.83333333333
48165,27542,2295.16666666667
48179,26651,2220.91666666667
48237,24394,2032.83333333333
48035,26155,2179.58333333333
48029,27976,2331.33333333333
48023,22319,1859.91666666667
48121,40677,3389.75
48167,34255,2854.58333333333
48393,30806,2567.16666666667
48463,21037,1753.08333333333
48037,27641,2303.41666666667
48263,28333,2361.08333333333
48425,30157,2513.08333333333
48199,30905,2575.41666666667
48289,23653,1971.08333333333
48351,21019,1751.58333333333
48389,22515,1876.25
48453,39860,3321.66666666667
48087,21048,1754
48143,23502,1958.5
48345,23807,1983.91666666667
48083,26692,2224.33333333333
48325,26529,2210.75
48213,23787,1982.25
48277,25175,2097.91666666667
48267,25094,2091.16666666667
48477,28376,2364.66666666667
48429,22206,1850.5
48003,33373,2781.08333333333
48177,27132,2261
48305,25000,2083.33333333333
48505,17256,1438
48221,31204,2600.33333333333
48269,33750,2812.5
48073,23891,1990.91666666667
48119,26636,2219.66666666667
48253,21856,1821.33333333333
09015,32078,2673.16666666667
09011,35785,2982.08333333333
09007,42907,3575.58333333333
09013,37303,3108.58333333333
09001,40609,3384.08333333333
12133,21452,1787.66666666667
12031,30608,2550.66666666667
12007,24309,2025.75
12009,28542,2378.5
12019,32036,2669.66666666667
12067,21923,1826.91666666667
12069,27221,2268.41666666667
12089,31965,2663.75
12103,30009,2500.75
12105,26032,2169.33333333333
12111,26425,2202.08333333333
12043,21698,1808.16666666667
12051,21225,1768.75
12061,27382,2281.83333333333
12063,23053,1921.08333333333
12109,36462,3038.5
12117,32734,2727.83333333333
12005,27495,2291.25
12035,26821,2235.08333333333
12045,26523,2210.25
12077,21920,1826.66666666667
12097,23483,1956.91666666667
12131,28513,2376.08333333333
12039,25734,2144.5
12065,27978,2331.5
12083,24501,2041.75
12049,21744,1812
12093,22631,1885.91666666667
12095,28064,2338.66666666667
12041,22882,1906.83333333333
12121,22987,1915.58333333333
12001,25648,2137.33333333333
12013,23568,1964
12015,26006,2167.16666666667
12029,22643,1886.91666666667
12085,30801,2566.75
12115,31707,2642.25
12081,29551,2462.58333333333
12017,24413,2034.41666666667
12003,28349,2362.41666666667
12113,31273,2606.08333333333
12073,27751,2312.58333333333
12011,30277,2523.08333333333
12087,35539,2961.58333333333
12053,25217,2101.41666666667
12057,30363,2530.25
12123,21515,1792.91666666667
12129,31163,2596.91666666667
13189,22257,1854.75
13211,30978,2581.5
13149,25532,2127.66666666667
13095,21959,1829.91666666667
13111,25062,2088.5
13153,31668,2639
13175,22223,1851.91666666667
13255,24805,2067.08333333333
13271,18562,1546.83333333333
18171,31885,2657.08333333333
18165,28558,2379.83333333333
18179,30174,2514.5
18003,30325,2527.08333333333
18031,30464,2538.66666666667
18035,22613,1884.41666666667
18043,31865,2655.41666666667
18077,27018,2251.5
18079,28491,2374.25
18081,35832,2986
18103,27576,2298
18109,31019,2584.91666666667
18051,30141,2511.75
18111,28690,2390.83333333333
18117,24555,2046.25
18141,27208,2267.33333333333
18085,30452,2537.66666666667
18099,27595,2299.58333333333
18155,27114,2259.5
18163,27095,2257.91666666667
18009,25424,2118.66666666667
18143,25470,2122.5
18105,22409,1867.41666666667
18039,29100,2425
18025,23847,1987.25
18017,28120,2343.33333333333
18097,29572,2464.33333333333
18177,25292,2107.66666666667
19023,31123,2593.58333333333
19071,30390,2532.5
19079,32448,2704
19173,29178,2431.5
19175,27896,2324.66666666667
19195,32311,2692.58333333333
19159,29532,2461
19001,31886,2657.16666666667
19037,32338,2694.83333333333
19039,30386,2532.16666666667
19059,34232,2852.66666666667
19103,30486,2540.5
19107,28824,2402
19171,30623,2551.91666666667
19179,27905,2325.41666666667
19069,31147,2595.58333333333
19027,31396,2616.33333333333
19031,35486,2957.16666666667
19067,28660,2388.33333333333
19073,28990,2415.83333333333
19115,30556,2546.33333333333
19119,32845,2737.08333333333
13291,25320,2110
37017,22298,1858.16666666667
37031,29053,2421.08333333333
37015,19215,1601.25
37117,22952,1912.66666666667
37143,25800,2150
37157,24465,2038.75
37029,33651,2804.25
37071,27099,2258.25
37125,31217,2601.41666666667
37167,26826,2235.5
37199,25083,2090.25
37037,32024,2668.66666666667
37101,30254,2521.16666666667
37145,28355,2362.91666666667
37009,24071,2005.91666666667
37107,22957,1913.08333333333
37133,25209,2100.75
37161,23142,1928.5
37197,26335,2194.58333333333
37023,23880,1990
38097,35748,2979
38021,33423,2785.25
38101,37158,3096.5
38067,32468,2705.66666666667
38041,28770,2397.5
38017,34981,2915.08333333333
38029,31352,2612.66666666667
38077,31407,2617.25
38001,31453,2621.08333333333
38027,31143,2595.25
38057,37940,3161.66666666667
38073,32396,2699.66666666667
38085,21213,1767.75
38033,32500,2708.33333333333
38095,33801,2816.75
38023,35417,2951.41666666667
38081,40227,3352.25
39105,23034,1919.5
39021,30835,2569.58333333333
39057,32287,2690.58333333333
39087,24733,2061.08333333333
39115,22096,1841.33333333333
39175,31446,2620.5
39043,29836,2486.33333333333
39091,31536,2628
39153,30799,2566.58333333333
16059,22472,1872.66666666667
16075,27032,2252.66666666667
16009,23285,1940.41666666667
16017,25310,2109.16666666667
16033,23424,1952
16037,19388,1615.66666666667
16039,26809,2234.08333333333
16043,24360,2030
16065,12911,1075.91666666667
16079,21338,1778.16666666667
16049,21757,1813.08333333333
16081,33984,2832
16077,26383,2198.58333333333
16087,21188,1765.66666666667
17067,29026,2418.83333333333
17119,31555,2629.58333333333
17063,40057,3338.08333333333
17091,27619,2301.58333333333
17131,31234,2602.83333333333
17043,41943,3495.25
17003,21845,1820.41666666667
17129,40057,3338.08333333333
17099,29484,2457
17031,32955,2746.25
17115,28225,2352.08333333333
17177,27178,2264.83333333333
17191,28537,2378.08333333333
17203,35400,2950
17055,24243,2020.25
17109,21047,1753.91666666667
17111,39390,3282.5
20071,30542,2545.16666666667
20051,26676,2223
20107,27113,2259.41666666667
20175,27166,2263.83333333333
20091,43408,3617.33333333333
20121,36073,3006.08333333333
20207,22845,1903.75
20135,30362,2530.16666666667
20011,23767,1980.58333333333
20097,27866,2322.16666666667
20177,31826,2652.16666666667
20019,22456,1871.33333333333
20155,26565,2213.75
20043,25274,2106.16666666667
20081,28841,2403.41666666667
20171,30737,2561.41666666667
20013,26031,2169.25
20147,26056,2171.33333333333
20039,28254,2354.5
21079,25436,2119.66666666667
21037,32375,2697.91666666667
21063,16880,1406.66666666667
21123,23997,1999.75
21167,27340,2278.33333333333
21207,21066,1755.5
21229,26102,2175.16666666667
21009,22266,1855.5
21091,29008,2417.33333333333
21093,30512,2542.66666666667
21149,29536,2461.33333333333
21197,21237,1769.75
21033,26292,2191
21019,25178,2098.16666666667
21067,30181,2515.08333333333
21115,20254,1687.83333333333
21175,20952,1746
21199,21765,1813.75
21001,19277,1606.41666666667
21025,15934,1327.83333333333
21099,21428,1785.66666666667
21223,27088,2257.33333333333
21105,23460,1955
21143,23580,1965
21135,20316,1693
21239,31738,2644.83333333333
21131,17902,1491.83333333333
21127,19610,1634.16666666667
21145,26221,2185.08333333333
46015,28873,2406.08333333333
46053,25806,2150.5
46099,33737,2811.41666666667
46025,24856,2071.33333333333
46077,33683,2806.91666666667
46027,20563,1713.58333333333
46041,25887,2157.25
46065,37626,3135.5
46111,30921,2576.75
46059,31679,2639.91666666667
46135,30126,2510.5
46005,29818,2484.83333333333
46035,30801,2566.75
46073,28438,2369.83333333333
46117,36029,3002.41666666667
46107,28774,2397.83333333333
46023,25353,2112.75
46091,32424,2702
46105,29757,2479.75
21235,18714,1559.5
21071,18188,1515.66666666667
21117,32892,2741
21153,16946,1412.16666666667
21205,18303,1525.25
21217,21871,1822.58333333333
21039,25721,2143.41666666667
21065,18707,1558.91666666667
22079,25418,2118.16666666667
22105,23823,1985.25
22123,20905,1742.08333333333
22021,20612,1717.66666666667
22035,17979,1498.25
22039,19039,1586.58333333333
22087,24209,2017.41666666667
22121,32875,2739.58333333333
22081,18209,1517.41666666667
22069,18151,1512.58333333333
22025,23795,1982.91666666667
22041,20588,1715.66666666667
22007,24504,2042
22113,26353,2196.08333333333
22029,20415,1701.25
23017,24424,2035.33333333333
23019,25832,2152.66666666667
23001,30206,2517.16666666667
23005,35560,2963.33333333333
23031,32822,2735.16666666667
