fips,county,state,iso_3166_2,total_homeowners,total_mortgages,predicted_foreclosure_rate,white_ho_share,RGDP_2012,unemp_rate,api_total_med_owner_cost,api_w_mort_med_owner_cost,api_w_o_mort_med_owner_cost,api_share_never_married,api_share_married,api_share_divorced,api_share_separated,api_share_widowed,api_share_other_than_married,api_share_less_hs,api_share_hs_or_equiv,api_share_some_col_or_assoc,api_share_bachelor,api_share_grad_or_prof,api_month_med_income,api_cost_to_income_ratio
17127,Massac County,Illinois,IL,4510,2003,0.038,0.93,580312,0.0536316817616764,699,972,437,0.235090609555189,0.560461285008237,0.114085667215815,0.0132619439868204,0.0771004942339374,0.439538714991763,0.122903963414634,0.343464176829268,0.393578506097561,0.103563262195122,0.0364900914634146,1968.08333333333,0.355167887538638
13185,Lowndes County,Georgia,GA,20728,12742,0.013,0.696,4643519,0.0365545326462471,874,1191,369,0.396468788182329,0.413915704426123,0.110878730172708,0.022620449767191,0.0561163274516495,0.586084295573877,0.134387351778656,0.313551040648746,0.295494654551289,0.156017093767776,0.100549859253533,2044.16666666667,0.427558092132082
13189,McDuffie County,Georgia,GA,5374,2354,0.019,0.671,637332,0.0533211803577532,690,1102,383,0.346978672985782,0.438684834123223,0.109656398104265,0.0228080568720379,0.0818720379146919,0.561315165876777,0.162555254527306,0.421217738485669,0.273278197632967,0.0875516897190931,0.0553971196349636,1854.75,0.372017792155277
13195,Madison County,Georgia,GA,8480,4771,0.011,0.856,472237,0.03182156133829,661,1089,372,0.24034632034632,0.554761904761905,0.11021645021645,0.0207359307359307,0.0739393939393939,0.445238095238095,0.16932150418389,0.401905434015526,0.249269079544309,0.107672144369392,0.0718318378868838,2269.66666666667,0.29123219268615
13199,Meriwether County,Georgia,GA,4781,2633,0.021,0.664,574736,0.0470957613814757,667,1130,385,0.344318181818182,0.416306818181818,0.121761363636364,0.0369318181818182,0.0806818181818182,0.583693181818182,0.202858303982661,0.390205906258467,0.297751286914115,0.0692224329450014,0.0399620698997562,1777.25,0.375298916865945
13205,Mitchell County,Georgia,GA,5124,2377,0.015,0.568,800735,0.0467630125719657,650,1092,419,0.369064463184108,0.385703774973117,0.147376761559794,0.0379195200633879,0.0599354802195936,0.614296225026883,0.220218800648298,0.390532144786602,0.291464073473798,0.0708400864397623,0.0269448946515397,1838.16666666667,0.353613201559524
13209,Montgomery County,Georgia,GA,1969,828,0.01,0.75,165072,0.0528455284552846,513,1077,360,0.290228359001593,0.475836431226766,0.128651088688263,0.0192511949017525,0.0860329261816251,0.524163568773234,0.179014360313316,0.394419060052219,0.276109660574413,0.0889360313315927,0.0615208877284595,1849,0.277447268793943
13213,Murray County,Georgia,GA,10897,5840,0.01,0.901,1135982,0.0526013405681456,601,1010,324,0.238036392845006,0.53523432914208,0.13015539559455,0.0299360499243103,0.0666378324940529,0.46476567085792,0.291362620997766,0.375763216679077,0.233246463142219,0.0658600148920328,0.0337676842889054,2140.25,0.280808316785422
13221,Oglethorpe County,Georgia,GA,4396,2473,0.016,0.808,284740,0.0331679659815734,738,1151,355,0.248195538057743,0.515748031496063,0.128444881889764,0.0200131233595801,0.0875984251968504,0.484251968503937,0.200498848810437,0.389965464313124,0.237912509593246,0.0871066768994628,0.0845165003837299,2061.58333333333,0.357977282832775
13229,Pierce County,Georgia,GA,4642,2123,0.009,0.905,399902,0.0353413654618474,566,1069,323,0.268309549255045,0.496951027849375,0.116992519016785,0.0600993273401647,0.0576475765386308,0.503048972150626,0.161916809286405,0.435746707344296,0.274946052533671,0.0651090110871345,0.0622814197484932,1794.25,0.315452138776648
