State,Name,RGDP_2012,Combined_Area
Georgia,Grady County,669070,0
Georgia,Greene County,622601,0
Georgia,Gwinnett County,44283783,0
Georgia,Habersham County,1399929,0
Georgia,Hall County,9535290,0
Georgia,Hancock County,160352,0
Georgia,Haralson County,740273,0
Georgia,Harris County,534151,0
Georgia,Hart County,816669,0
Georgia,Heard County,1156627,0
Georgia,Henry County,5744251,0
Georgia,Houston County,6347031,0
Georgia,Irwin County,214945,0
Georgia,Jackson County,2832812,0
Georgia,Jasper County,250974,0
Georgia,Jeff Davis County,392489,0
Georgia,Jefferson County,544699,0
Georgia,Jenkins County,167966,0
Georgia,Johnson County,134712,0
Georgia,Jones County,397867,0
Georgia,Lamar County,387637,0
Georgia,Lanier County,120067,0
Georgia,Laurens County,1728031,0
Georgia,Lee County,684178,0
Georgia,Liberty County,3188935,0
Georgia,Lincoln County,132433,0
Georgia,Long County,115741,0
Georgia,Lowndes County,4643519,0
Georgia,Lumpkin County,699197,0
Georgia,McDuffie County,637332,0
Georgia,McIntosh County,185905,0
Georgia,Macon County,504344,0
Georgia,Madison County,472237,0
Georgia,Marion County,107031,0
Georgia,Meriwether County,574736,0
Georgia,Miller County,214968,0
Georgia,Mitchell County,800735,0
Georgia,Monroe County,1460717,0
Georgia,Montgomery County,165072,0
Georgia,Morgan County,726761,0
Georgia,Murray County,1135982,0
Georgia,Muscogee County,9979549,0
Georgia,Newton County,2659161,0
Georgia,Oconee County,1303729,0
Georgia,Oglethorpe County,284740,0
Georgia,Paulding County,2362819,0
Georgia,Peach County,866050,0
Georgia,Pickens County,933288,0
Georgia,Pierce County,399902,0
Georgia,Pike County,286221,0
Georgia,Polk County,1176959,0
Georgia,Pulaski County,274112,0
Georgia,Putnam County,485620,0
Georgia,Quitman County,37303,0
Georgia,Rabun County,492062,0
Georgia,Randolph County,189062,0
Georgia,Richmond County,11562741,0
Georgia,Rockdale County,3541223,0
Georgia,Schley County,103766,0
Georgia,Screven County,297373,0
Georgia,Seminole County,309401,0
Georgia,Spalding County,1977588,0
Georgia,Stephens County,906789,0
Georgia,Stewart County,135268,0
Georgia,Sumter County,1082016,0
Georgia,Talbot County,136392,0
Georgia,Taliaferro County,34992,0
Georgia,Tattnall County,619458,0
Georgia,Taylor County,211859,0
Georgia,Telfair County,311806,0
Georgia,Terrell County,249511,0
Georgia,Thomas County,2025308,0
Georgia,Tift County,1855637,0
Georgia,Toombs County,946507,0
Georgia,Towns County,324641,0
Georgia,Treutlen County,115116,0
Georgia,Troup County,3307080,0
Georgia,Turner County,223387,0
Georgia,Twiggs County,287290,0
Georgia,Union County,664241,0
Georgia,Upson County,677373,0
Georgia,Walker County,1398073,0
Georgia,Walton County,2274939,0
Georgia,Ware County,1430432,0
Georgia,Warren County,182140,0
Georgia,Washington County,599327,0
Georgia,Wayne County,824104,0
Georgia,Webster County,58776,0
Georgia,Wheeler County,108174,0
Georgia,White County,706895,0
Georgia,Whitfield County,5214359,0
Georgia,Wilcox County,170974,0
Georgia,Wilkes County,345622,0
Georgia,Wilkinson County,535277,0
Georgia,Worth County,382486,0
Hawaii,Hawaii County,8221411,0
Hawaii,Honolulu County,61094332,0
Hawaii,Kauai County,3829072,0
Hawaii,Maui County,9328861,1
Hawaii,Kalawao County,9328861,1
Idaho,Ada County,26471383,0
Idaho,Adams County,118199,0
Idaho,Bannock County,2814614,0
Idaho,Bear Lake County,194227,0
Idaho,Benewah County,310410,0
Idaho,Bingham County,1359110,0
Idaho,Blaine County,1422835,0
Idaho,Boise County,228762,0
Idaho,Bonner County,1388760,0
Idaho,Bonneville County,5215234,0
Idaho,Boundary County,347973,0
Idaho,Butte County,1098397,0
Idaho,Camas County,67036,0
Idaho,Canyon County,5843416,0
Idaho,Caribou County,499326,0
Idaho,Cassia County,1721321,0
Idaho,Clark County,50376,0
Idaho,Clearwater County,319934,0
Idaho,Custer County,182645,0
Idaho,Elmore County,1308385,0
Idaho,Franklin County,370393,0
Idaho,Fremont County,386867,0
Idaho,Gem County,349651,0
Idaho,Gooding County,1366367,0
Idaho,Idaho County,439444,0
Idaho,Jefferson County,790400,0
Idaho,Jerome County,1318937,0
Idaho,Kootenai County,5789257,0
Idaho,Latah County,1294709,0
Idaho,Lemhi County,259431,0
Idaho,Lewis County,149975,0
Idaho,Lincoln County,332155,0
Idaho,Madison County,1185464,0
Idaho,Minidoka County,822203,0
Idaho,Nez Perce County,2016126,0
Idaho,Oneida County,131296,0
Idaho,Owyhee County,475953,0
Idaho,Payette County,781605,0
Idaho,Power County,415704,0
Idaho,Shoshone County,452956,0
Idaho,Teton County,322408,0
Idaho,Twin Falls County,3582530,0
Idaho,Valley County,486230,0
Idaho,Washington County,413942,0
Illinois,Adams County,3355565,0
Illinois,Alexander County,180503,0
Illinois,Bond County,506827,0
Illinois,Boone County,1685685,0
Illinois,Brown County,463876,0
Illinois,Bureau County,1328246,0
Illinois,Calhoun County,100333,0
Illinois,Carroll County,619998,0
Illinois,Cass County,628081,0
Illinois,Champaign County,10222595,0
Illinois,Christian County,1484482,0
Illinois,Clark County,570541,0
Illinois,Clay County,556479,0
Illinois,Clinton County,1025829,0
Illinois,Coles County,2334593,0
Illinois,Cook County,366932993,0
Illinois,Crawford County,2062806,0
Illinois,Cumberland County,1338737,0
Illinois,DeKalb County,3779934,0
Illinois,De Witt County,1138688,0
Illinois,Douglas County,1079873,0
Illinois,DuPage County,83828491,0
Illinois,Edgar County,790466,0
Illinois,Edwards County,293642,0
Illinois,Effingham County,2031677,0
Illinois,Fayette County,569001,0
Illinois,Ford County,640573,0
Illinois,Franklin County,1081495,0
Illinois,Fulton County,963407,0
Illinois,Gallatin County,218919,0
Illinois,Greene County,327960,0
Illinois,Grundy County,3710386,0
Illinois,Hamilton County,360548,0
Illinois,Hancock County,571667,0
Illinois,Hardin County,82211,0
Illinois,Henderson County,189829,0
Illinois,Henry County,1476114,0
Illinois,Iroquois County,1149692,0
Illinois,Jackson County,2434312,0
Illinois,Jasper County,486269,0
Illinois,Jefferson County,1880802,0
Illinois,Jersey County,516848,0
Illinois,Jo Daviess County,783014,0
Illinois,Johnson County,223155,0
Illinois,Kane County,23469101,0
Illinois,Kankakee County,5608505,0
Illinois,Kendall County,3008434,0
Illinois,Knox County,1736634,0
Illinois,Lake County,53778183,0
Illinois,La Salle County,5410182,0
Illinois,Lawrence County,566681,0
Illinois,Lee County,1599521,0
Illinois,Livingston County,1862479,0
Illinois,Logan County,1025379,0
Illinois,McDonough County,1116077,0
Illinois,McHenry County,10296845,0
Illinois,McLean County,13778419,0
Illinois,Macon County,6399861,0
Illinois,Macoupin County,1222824,0
Illinois,Madison County,12150589,0
Illinois,Marion County,1310886,0
Illinois,Marshall County,377563,0
Illinois,Mason County,500812,0
Illinois,Massac County,580312,0
Illinois,Menard County,239807,0
Illinois,Mercer County,433107,0
Illinois,Monroe County,884223,0
Illinois,Montgomery County,1106194,0
Illinois,Morgan County,1505562,0
Illinois,Moultrie County,788685,0
Illinois,Ogle County,2580522,0
Illinois,Peoria County,12322562,0
Illinois,Perry County,595610,0
Illinois,Piatt County,510080,0
Illinois,Pike County,552775,0
Illinois,Pope County,63504,0
Illinois,Pulaski County,199669,0
Illinois,Putnam County,361799,0
Illinois,Randolph County,1434433,0
Illinois,Richland County,617567,0
Illinois,Rock Island County,9689097,0
Illinois,St. Clair County,11136578,0
Illinois,Saline County,858027,0
Illinois,Sangamon County,10702860,0
Illinois,Schuyler County,263666,0
Illinois,Scott County,164274,0
Illinois,Shelby County,809421,0
Illinois,Stark County,207505,0
Illinois,Stephenson County,1755957,0
Illinois,Tazewell County,5549702,0
Illinois,Union County,413050,0
Illinois,Vermilion County,3202651,0
Illinois,Wabash County,362876,0
Illinois,Warren County,819600,0
Illinois,Washington County,888830,0
Illinois,Wayne County,480779,0
Illinois,White County,591775,0
Illinois,Whiteside County,2120737,0
Illinois,Will County,30143384,0
Illinois,Williamson County,2776828,0
Illinois,Winnebago County,13156636,0
Illinois,Woodford County,1099003,0
Indiana,Adams County,1685187,0
Indiana,Allen County,20063027,0
Indiana,Bartholomew County,6045053,0
Indiana,Benton County,461815,0
Indiana,Blackford County,301776,0
Indiana,Boone County,3061062,0
Indiana,Brown County,254107,0
Indiana,Carroll County,657963,0
Indiana,Cass County,1300004,0
Indiana,Clark County,4861806,0
Indiana,Clay County,735260,0
Indiana,Clinton County,1466509,0
Indiana,Crawford County,171390,0
Indiana,Daviess County,1241003,0
Indiana,Dearborn County,1692682,0
Indiana,Decatur County,1527252,0
Indiana,DeKalb County,2444566,0
Indiana,Delaware County,3759995,0
Indiana,Dubois County,2527822,0
Indiana,Elkhart County,14500980,0
Indiana,Fayette County,560184,0
Indiana,Floyd County,2711632,0
Indiana,Fountain County,474171,0
Indiana,Franklin County,547209,0
Indiana,Fulton County,659158,0
Indiana,Gibson County,3343492,0
Indiana,Grant County,2248065,0
Indiana,Greene County,643020,0
Indiana,Hamilton County,17132223,0
Indiana,Hancock County,2753013,0
Indiana,Harrison County,1000154,0
Indiana,Hendricks County,5979898,0
Indiana,Henry County,1251201,0
Indiana,Howard County,3954647,0
Indiana,Huntington County,1378556,0
Indiana,Jackson County,2262448,0
Indiana,Jasper County,1459915,0
Indiana,Jay County,952596,0
Indiana,Jefferson County,1400089,0
Indiana,Jennings County,706193,0
Indiana,Johnson County,4866188,0
Indiana,Knox County,1833730,0
Indiana,Kosciusko County,4686316,0
Indiana,LaGrange County,1824967,0
Indiana,Lake County,24435380,0
Indiana,LaPorte County,3893649,0
Indiana,Lawrence County,1323599,0
Indiana,Madison County,3508789,0
Indiana,Marion County,84088746,0
Indiana,Marshall County,1550355,0
Indiana,Martin County,1019304,0
Indiana,Miami County,940226,0
Indiana,Monroe County,6157213,0
Indiana,Montgomery County,1594289,0
Indiana,Morgan County,1617605,0
Indiana,Newton County,341366,0
Indiana,Noble County,1747811,0
Indiana,Ohio County,108080,0
Indiana,Orange County,601921,0
Indiana,Owen County,487096,0
Indiana,Parke County,326589,0
Indiana,Perry County,758889,0
Indiana,Pike County,689383,0
Indiana,Porter County,7038578,0
Indiana,Posey County,2877731,0
Indiana,Pulaski County,620684,0
Indiana,Putnam County,1032381,0
Indiana,Randolph County,737625,0
Indiana,Ripley County,1062334,0
Indiana,Rush County,627561,0
Indiana,St. Joseph County,12972569,0
Indiana,Scott County,663104,0
Indiana,Shelby County,1842441,0
Indiana,Spencer County,1027595,0
Indiana,Starke County,422624,0
Indiana,Steuben County,1324266,0
Indiana,Sullivan County,918148,0
Indiana,Switzerland County,197802,0
Indiana,Tippecanoe County,9040396,0
Indiana,Tipton County,555250,0
Indiana,Union County,133439,0
Indiana,Vanderburgh County,10292671,0
Indiana,Vermillion County,736253,0
Indiana,Vigo County,4377484,0
Indiana,Wabash County,1164169,0
Indiana,Warren County,243958,0
Indiana,Warrick County,2210607,0
Indiana,Washington County,601931,0
Indiana,Wayne County,2607536,0
Indiana,Wells County,1144565,0
Indiana,White County,944621,0
Indiana,Whitley County,1499387,0
Iowa,Adair County,409441,0
Iowa,Adams County,248585,0
Iowa,Allamakee County,601573,0
Iowa,Appanoose County,380440,0
Iowa,Audubon County,333982,0
Iowa,Benton County,831865,0
Iowa,Black Hawk County,6954188,0
Iowa,Boone County,934453,0
Iowa,Bremer County,1064512,0
Iowa,Buchanan County,782371,0
Iowa,Buena Vista County,1255549,0
Iowa,Butler County,448850,0
Iowa,Calhoun County,463769,0
Iowa,Carroll County,1386935,0
Iowa,Cass County,616163,0
Iowa,Cedar County,623663,0
Iowa,Cerro Gordo County,2401592,0
Iowa,Cherokee County,732258,0
Iowa,Chickasaw County,697823,0
Iowa,Clarke County,393048,0
Iowa,Clay County,1003867,0
Iowa,Clayton County,879140,0
Iowa,Clinton County,2153256,0
Iowa,Crawford County,837082,0
Iowa,Dallas County,4499385,0
Iowa,Davis County,251106,0
Iowa,Decatur County,205825,0
Iowa,Delaware County,952657,0
Iowa,Des Moines County,2061896,0
Iowa,Dickinson County,904689,0
Iowa,Dubuque County,5712534,0
Iowa,Emmet County,414613,0
Iowa,Fayette County,779277,0
Iowa,Floyd County,824187,0
Iowa,Franklin County,644022,0
Iowa,Fremont County,306827,0
Iowa,Greene County,493118,0
Iowa,Grundy County,524936,0
Iowa,Guthrie County,469367,0
Iowa,Hamilton County,889079,0
Iowa,Hancock County,789651,0
Iowa,Hardin County,899909,0
Iowa,Harrison County,432495,0
Iowa,Henry County,876317,0
Iowa,Howard County,491110,0
Iowa,Humboldt County,464899,0
Iowa,Ida County,485383,0
Iowa,Iowa County,1071156,0
Iowa,Jackson County,615545,0
Iowa,Jasper County,1099820,0
Iowa,Jefferson County,655566,0
Iowa,Johnson County,8084987,0
Iowa,Jones County,613595,0
